ADM2_NA,ADM3_NA,uniq_id2,Climate_vul,Local_threats,bi_class
Macuata,Dogotuki,Qaranisisi_Dogotuki,5.1,2.669912693751253,2-1
Macuata,Labasa,Qaranisisi_Labasa,5.8,3.701274849275303,3-2
Macuata,Labasa,Qawa River_Labasa,5.8,4.384656359295231,3-2
Macuata,Dogotuki,Qelewara_Dogotuki,5.1,2.447472738404708,2-1
Macuata,Labasa,Qelewara_Labasa,5.8,3.396094532928257,2-2
Ba,Tavua,Rabulu_Tavua,5.8,3.383006789359989,2-2
Bua,Vuya,Raviravi_Vuya,5.8,2.689370773431341,2-2
Macuata,Macuata,Raviravi_Macuata,6.1,3.748223762994772,3-3
Macuata,Dogotuki,Ravuka_Dogotuki,5.1,1.899552927365161,1-1
Ba,Tavua,Rewa_Tavua,5.8,1.646970033860318,1-2
Ra,Nakorotubu,Rewa_Nakorotubu,6.2,1.35058508233958,1-3
Ra,Nalawa,Rewa_Nalawa,5.3,1.537109825386206,1-1
Ra,Rakiraki,Rewa_Rakiraki,5.7,2.136826700229764,1-1
Ra,Saivou,Rewa_Saivou,5.2,1.504538073234875,1-1
Ra,Nakorotubu,Rukuruku Creek_Nakorotubu,6.2,1.631664984722443,1-3
Ra,Nalawa,Rukuruku Creek_Nalawa,5.3,2.553950216803291,2-1
Ra,Saivou,Rukuruku Creek_Saivou,5.2,1.806958546209277,1-1
Ba,Magodro,Sabeto_Magodro,4.7,2.658647452231376,2-1
Ba,Nadi,Sabeto_Nadi,5.7,5.838294892592454,3-1
Ba,Nawaka,Sabeto_Nawaka,5.5,3.732375801499373,3-1
Ba,Vuda,Sabeto_Vuda,6.3,4.78310028276218,3-3
Bua,Bua,Sarowaqa River_Bua,6.2,3.441976459467969,2-3
Bua,Wainunu,Sarowaqa River_Wainunu,5.7,2.687088758529848,2-1
Macuata,Macuata,Sarowaqa River_Macuata,6.1,3.581569381233988,3-3
Macuata,Labasa,Sasa_Labasa,5.8,3.838256091926314,3-2
Macuata,Macuata,Sasa_Macuata,6.1,4.247002884305219,3-3
Macuata,Sasa,Sasa_Sasa,5.3,3.608384004105921,3-1
Ba,Magodro,Sigatoka_Magodro,4.7,1.833727964546366,1-1
Ba,Nawaka,Sigatoka_Nawaka,5.5,2.556465022039095,2-1
Ba,Tavua,Sigatoka_Tavua,5.8,1.986713761984322,1-2
Ra,Rakiraki,Sigatoka_Rakiraki,5.7,1.277752102064036,1-1
Ra,Saivou,Sigatoka_Saivou,5.2,0.863783702166912,1-1
Macuata,Labasa,Tabia River_Labasa,5.8,3.792550365037489,3-2
Macuata,Sasa,Tabia River_Sasa,5.3,3.196075764908729,2-1
Ba,Ba,Tamuqali Creek_Ba,5.9,4.330690390229492,3-2
Ba,Vuda,Tavarau_Vuda,6.3,5.362143907991841,3-3
Bua,Bua,Taveti_Bua,6.2,3.40823631679018,2-3
Macuata,Dogotuki,Tawake_Dogotuki,5.1,1.411739052470209,1-1
